# Levels of the board
LEVEL, alpha, 8
LEVEL, beta, 8
LEVEL, gamma, 8
LEVEL, delta, 8
# MOVE, player1_commandbay, 1, outerspace, 1
# MOVE, player1_commandbay, 2, outerspace, 1
# MOVE, player1_commandbay, 3, outerspace, 1
# MOVE, player1_supplybay, 1, outerspace, 1
# MOVE, player1_supplybay, 2, outerspace, 1
# MOVE, player1_supplybay, 3, outerspace, 1
# MOVE, player2_commandbay, 1, outerspace, 1
# MOVE, player2_commandbay, 2, outerspace, 1
# MOVE, player2_commandbay, 3, outerspace, 1
# MOVE, player2_supplybay, 1, outerspace, 1
# MOVE, player2_supplybay, 2, outerspace, 1
# MOVE, player2_supplybay, 3, outerspace, 1

# All valid moves
MOVE, alpha, 1, alpha, 3
MOVE, alpha, 1, beta, 1
MOVE, alpha, 1, beta, 3
MOVE, alpha, 1, outerspace, 1
MOVE, alpha, 2, alpha, 3
MOVE, alpha, 2, alpha, 4
MOVE, alpha, 2, beta, 1
MOVE, alpha, 2, beta, 2
MOVE, alpha, 2, beta, 4
MOVE, alpha, 2, outerspace, 1
MOVE, alpha, 3, alpha, 1
MOVE, alpha, 3, alpha, 5
MOVE, alpha, 3, alpha, 6
MOVE, alpha, 3, alpha, 2
MOVE, alpha, 3, beta, 1
MOVE, alpha, 3, beta, 3
MOVE, alpha, 3, beta, 4
MOVE, alpha, 3, beta, 5
MOVE, alpha, 4, alpha, 2
MOVE, alpha, 4, alpha, 5
MOVE, alpha, 4, beta, 2
MOVE, alpha, 4, beta, 4
MOVE, alpha, 4, beta, 6
MOVE, alpha, 5, alpha, 3
MOVE, alpha, 5, alpha, 7
MOVE, alpha, 5, beta, 3
MOVE, alpha, 5, beta, 5
MOVE, alpha, 5, beta, 7
MOVE, alpha, 6, alpha, 3
MOVE, alpha, 6, alpha, 4
MOVE, alpha, 6, alpha, 7
MOVE, alpha, 6, alpha, 8
MOVE, alpha, 6, beta, 4
MOVE, alpha, 6, beta, 5
MOVE, alpha, 6, beta, 6
MOVE, alpha, 6, beta, 8
MOVE, alpha, 7, alpha, 5
MOVE, alpha, 7, alpha, 6
MOVE, alpha, 7, beta, 5
MOVE, alpha, 7, beta, 7
MOVE, alpha, 7, beta, 8
MOVE, alpha, 8, alpha, 5
MOVE, alpha, 8, beta, 6
MOVE, alpha, 8, beta, 8
MOVE, beta, 1, beta, 3
MOVE, beta, 1, beta, 4
MOVE, beta, 1, alpha, 1
MOVE, beta, 1, alpha, 2
